ds,yhat,yhat_lower,yhat_upper
2017-12-31,921.5449148679476,0.0,2113.3124621836146
2018-01-01,1085.9774485262856,0.0,2359.6300242596394
2018-01-02,679.4048265522399,0.0,1912.2327055325018
2018-01-03,622.1232149997804,0.0,1976.242119601245
2018-01-04,812.8567173651905,0.0,2104.0388403456072
2018-01-05,821.9411827166787,0.0,2057.994651670247
2018-01-06,585.7526405323241,0.0,1854.247494226756
2018-01-07,709.4352840176143,0.0,1920.5704638974096
2018-01-08,877.1724003105384,0.0,2034.118428513576
2018-01-09,474.79375098000236,0.0,1646.0765627563474
2018-01-10,422.66866618718376,0.0,1600.4570908943683
2018-01-11,619.5906702590871,0.0,1821.3868646880696
2018-01-12,635.9563588343595,0.0,1844.0018385100686
2018-01-13,408.18894188014355,0.0,1641.4907161672388
2018-01-14,541.4615719662869,0.0,1686.8610160618618
2018-01-15,719.9640487038353,0.0,1862.9364679985445
2018-01-16,329.5065834260242,0.0,1642.467075619942
2018-01-17,290.41004988643425,0.0,1610.033424045719
2018-01-18,501.3886770993985,0.0,1899.6244498448593
2018-01-19,532.7280136607038,0.0,1745.129104395122
2018-01-20,320.7086537340424,0.0,1476.700917780934
2018-01-21,470.3308835603001,0.0,1655.9366191057984
2018-01-22,665.5838405020877,0.0,1972.5752160137652
2018-01-23,292.05283077989435,0.0,1510.4648543058663
2018-01-24,269.8141552917227,0.0,1539.5410278845102
2018-01-25,497.323286663985,0.0,1657.4853512973448
2018-01-26,544.5990803126037,0.0,1899.8174350387674
2018-01-27,347.65433383605574,0.0,1538.4565410061566
2018-01-28,511.22765354446557,0.0,1846.6040814301052
2018-01-29,719.0600019824533,0.0,1901.1433500289102
